             15      100.00000        0.01000        0.00000 Y Y            100            173              0              0             40       -0.92000        1.02000        0.00000
       -0.92000        3.03218E+001        3.33861E-001        7.64667E-013
       -0.87150        2.68327E+001        3.12523E-001        7.57058E-013
       -0.82300        2.48934E+001        3.52932E-001        4.24757E-013
       -0.77450        2.25715E+001        3.39769E-001        6.16627E-013
       -0.72600        2.05878E+001        2.63944E-001        5.66482E-013
       -0.67750        1.88857E+001        2.92001E-001        4.01330E-013
       -0.62900        1.72539E+001        2.78265E-001        6.14597E-013
       -0.58050        1.52851E+001        2.43479E-001        5.24732E-013
       -0.53200        1.35969E+001        2.37245E-001        5.31300E-013
       -0.48350        1.21007E+001        2.04304E-001        2.86581E-013
       -0.43500        1.04631E+001        2.22993E-001        3.03585E-013
       -0.38650        9.03354E+000        1.61024E-001        1.49140E-013
       -0.33800        7.51362E+000        1.67491E-001        1.55133E-013
       -0.28950        5.89958E+000        1.40632E-001        4.69598E-013
       -0.24100        4.23420E+000        1.06170E-001        2.79619E-013
       -0.19250        3.01989E+000        1.43888E-001        1.06408E-013
       -0.14400        1.85732E+000        1.31946E-001        1.20818E-013
       -0.09550        3.09355E-001        8.98379E-002        1.04886E-013
       -0.04700        1.41860E-001        5.80822E-002        8.18482E-014
        0.00150        7.72205E-002        4.34198E-002        4.48759E-013
        0.05000        2.00352E-001        8.69579E-002        6.67414E-014
        0.09850        5.64787E-001        8.89260E-002        2.07117E-013
        0.14700        2.27024E+000        1.31530E-001        1.56269E-013
        0.19550        3.43650E+000        1.37525E-001        1.86519E-013
        0.24400        4.76654E+000        1.21496E-001        3.12555E-013
        0.29250        6.29918E+000        1.26725E-001        5.21617E-013
        0.34100        7.81706E+000        1.36790E-001        4.58652E-013
        0.38950        9.54067E+000        2.03598E-001        3.72699E-013
        0.43800        1.10290E+001        2.55617E-001        2.82317E-013
        0.48650        1.24716E+001        2.24625E-001        2.61870E-013
        0.53500        1.39479E+001        2.48802E-001        2.88834E-013
        0.58350        1.57488E+001        2.52629E-001        3.64766E-013
        0.63200        1.76290E+001        2.64076E-001        7.31702E-013
        0.68050        1.91301E+001        2.61561E-001        2.93854E-013
        0.72900        2.08961E+001        2.47216E-001        2.93215E-013
        0.77750        2.30537E+001        3.28541E-001        3.77866E-013
        0.82600        2.48167E+001        3.22870E-001        9.62868E-013
        0.87450        2.75408E+001        3.42601E-001        1.43295E-012
        0.92300        3.00481E+001        3.11672E-001        4.45605E-013
        0.97150        3.37296E+001        3.43790E-001        9.45384E-013
