             15     1000.00000        0.00500        0.00500 X Y            100            174              0              0             40       -0.92000        1.02000        0.00000
       -0.92000        3.29683E+001        3.42847E-001        3.96086E-009
       -0.87150        3.01631E+001        3.37162E-001        3.92347E-009
       -0.82300        2.67929E+001        3.34031E-001        2.00835E-009
       -0.77450        2.52698E+001        3.02897E-001        1.43979E-009
       -0.72600        2.25538E+001        2.56901E-001        1.31948E-009
       -0.67750        2.08159E+001        2.66195E-001        1.98805E-009
       -0.62900        1.89617E+001        2.62466E-001        1.40582E-009
       -0.58050        1.68453E+001        2.68938E-001        2.17755E-009
       -0.53200        1.51202E+001        2.52448E-001        1.15600E-009
       -0.48350        1.36627E+001        2.38950E-001        9.56824E-010
       -0.43500        1.17606E+001        1.79026E-001        8.72777E-010
       -0.38650        1.02465E+001        2.08253E-001        8.49854E-010
       -0.33800        8.50855E+000        1.77199E-001        4.72828E-010
       -0.28950        7.17796E+000        1.47307E-001        1.60520E-009
       -0.24100        5.34608E+000        1.26890E-001        7.35296E-010
       -0.19250        3.87648E+000        1.40122E-001        2.64196E-010
       -0.14400        2.42764E+000        1.01153E-001        5.31164E-010
       -0.09550        1.10361E+000        8.06999E-002        1.41522E-009
       -0.04700        3.41236E-001        7.26098E-002        1.03024E-009
        0.00150        1.37408E-001        4.59227E-002        1.46507E-009
        0.05000        3.55157E-001        6.85740E-002        1.40248E-009
        0.09850        1.13537E+000        8.58648E-002        9.44572E-010
        0.14700        2.43769E+000        1.15654E-001        1.78539E-009
        0.19550        4.12122E+000        1.55527E-001        4.29115E-010
        0.24400        5.50954E+000        1.45220E-001        8.80119E-010
        0.29250        7.37569E+000        1.39062E-001        5.94751E-010
        0.34100        8.69428E+000        1.95992E-001        3.51630E-010
        0.38950        1.04364E+001        1.99709E-001        2.16872E-009
        0.43800        1.19679E+001        1.95952E-001        8.87067E-010
        0.48650        1.39690E+001        2.50017E-001        9.35943E-010
        0.53500        1.53575E+001        2.35133E-001        8.25289E-010
        0.58350        1.69246E+001        2.52903E-001        1.21042E-009
        0.63200        1.90006E+001        2.77522E-001        3.16122E-009
        0.68050        2.08695E+001        3.03680E-001        1.62036E-009
        0.72900        2.28061E+001        2.65077E-001        2.18181E-009
        0.77750        2.52319E+001        2.59469E-001        1.88949E-009
        0.82600        2.73072E+001        3.29123E-001        3.03894E-009
        0.87450        3.07413E+001        3.45621E-001        3.05726E-009
        0.92300        3.30648E+001        3.21710E-001        4.94479E-009
        0.97150        3.70901E+001        3.22182E-001        6.87260E-009
