E=   1.00000E-008Unitarity   4.04360E-008
   1   3.05740E-001   9.55015E-001
   2   2.56438E+000   1.53028E-001
   3   2.65057E+000   1.40521E-001
   4   4.92184E+000   1.45707E-002
   5   5.46575E+000   8.45822E-003
   6   7.70065E+000   9.05063E-004
   7   7.86608E+000   7.67072E-004
   8   1.02551E+001   7.03542E-005
   9   1.03686E+001   6.28051E-005
  10   1.27191E+001   5.98687E-006
  11   1.29008E+001   4.99202E-006
  12   1.51390E+001   5.32386E-007
  13   1.54665E+001   3.83724E-007
  14   1.75604E+001   4.72745E-008
  15   1.79366E+001   3.24538E-008
  16   2.00183E+001   4.04758E-009
  17   2.02323E+001   3.26782E-009
  18   2.23364E+001   3.98528E-010
  19   2.25722E+001   3.14806E-010
  20   2.47092E+001   3.71517E-011
  21   2.48002E+001   3.39181E-011
  22   2.67825E+001   4.67234E-012
  23   2.72687E+001   2.87328E-012
  24   2.91158E+001   4.53109E-013
  25   2.93814E+001   3.47406E-013
  26   3.13025E+001   5.08800E-014
  27   3.15111E+001   4.12971E-014
  28   3.33343E+001   6.66981E-015
  29   3.36668E+001   4.78314E-015
  30   0.00000E+000   8.28414E-016
  31   0.00000E+000   6.99577E-016
  32   0.00000E+000   2.09947E-016
  33   0.00000E+000   1.48362E-016
  34   0.00000E+000   1.12153E-016
  35   0.00000E+000   9.49056E-017
  36   0.00000E+000   8.24650E-017
  37   0.00000E+000   7.64227E-017
  38   0.00000E+000   7.08345E-017
  39   0.00000E+000   6.57338E-017
  40   0.00000E+000   6.30177E-017
  41   0.00000E+000   6.13991E-017
  42   0.00000E+000   5.97106E-017
  43   0.00000E+000   5.76780E-017
  44   0.00000E+000   5.46112E-017
  45   0.00000E+000   5.33368E-017
  46   0.00000E+000   5.04004E-017
  47   0.00000E+000   4.94943E-017
  48   0.00000E+000   4.81735E-017
  49   0.00000E+000   4.70545E-017
  50   0.00000E+000   4.49247E-017
  51   0.00000E+000   4.32725E-017
  52   0.00000E+000   4.11186E-017
  53   0.00000E+000   4.05965E-017
  54   0.00000E+000   3.95282E-017
  55   0.00000E+000   3.68952E-017
  56   0.00000E+000   3.57010E-017
  57   0.00000E+000   3.46255E-017
  58   0.00000E+000   3.38828E-017
  59   0.00000E+000   3.29025E-017
  60   0.00000E+000   3.12660E-017
  61   0.00000E+000   3.10033E-017
  62   0.00000E+000   2.97140E-017
  63   0.00000E+000   2.93918E-017
  64   0.00000E+000   2.72268E-017
  65   0.00000E+000   2.60866E-017
  66   0.00000E+000   2.43803E-017
  67   0.00000E+000   2.40842E-017
  68   0.00000E+000   2.23239E-017
  69   0.00000E+000   2.16190E-017
  70   0.00000E+000   2.02593E-017
  71   0.00000E+000   1.98267E-017
  72   0.00000E+000   1.81179E-017
  73   0.00000E+000   1.75271E-017
  74   0.00000E+000   1.71407E-017
  75   0.00000E+000   1.66134E-017
  76   0.00000E+000   1.48456E-017
  77   0.00000E+000   1.44606E-017
  78   0.00000E+000   1.32791E-017
  79   0.00000E+000   1.22648E-017
  80   0.00000E+000   1.14336E-017
  81   0.00000E+000   1.08346E-017
  82   0.00000E+000   1.03029E-017
  83   0.00000E+000   9.40012E-018
  84   0.00000E+000   8.49805E-018
  85   0.00000E+000   7.96081E-018
  86   0.00000E+000   7.01088E-018
  87   0.00000E+000   6.44091E-018
  88   0.00000E+000   5.54773E-018
  89   0.00000E+000   4.66982E-018
  90   0.00000E+000   3.93692E-018
  91   0.00000E+000   2.89917E-018
  92   0.00000E+000   2.51835E-018
  93   0.00000E+000   2.13661E-018
  94   0.00000E+000   1.23377E-018
  95   0.00000E+000   9.80295E-019
  96   0.00000E+000   5.20937E-019
  97   0.00000E+000   8.66897E-020
  98   0.00000E+000   3.63265E-020
  99   0.00000E+000   5.82200E-022
 100   0.00000E+000   1.76731E-023
