E=   1.00000E-007Unitarity   4.51523E-009
   1   4.22223E-002   9.99109E-001
   2   2.56530E+000   1.52888E-001
   3   2.82949E+000   1.17676E-001
   4   5.30741E+000   9.90925E-003
   5   5.45393E+000   8.55874E-003
   6   7.96164E+000   6.97164E-004
   7   8.06938E+000   6.25957E-004
   8   1.03942E+001   6.12190E-005
   9   1.09010E+001   3.68778E-005
  10   1.31368E+001   3.94261E-006
  11   1.33342E+001   3.23646E-006
  12   1.56936E+001   3.05774E-007
  13   1.58136E+001   2.71199E-007
  14   1.81537E+001   2.61193E-008
  15   1.83101E+001   2.23377E-008
  16   2.05644E+001   2.34443E-009
  17   2.08089E+001   1.83588E-009
  18   2.28874E+001   2.29698E-010
  19   2.33257E+001   1.48187E-010
  20   2.54137E+001   1.83649E-011
  21   2.55270E+001   1.63980E-011
  22   2.76797E+001   1.90490E-012
  23   2.78565E+001   1.59630E-012
  24   2.98850E+001   2.09964E-013
  25   3.01247E+001   1.65211E-013
  26   3.20807E+001   2.33638E-014
  27   3.22940E+001   1.88761E-014
  28   3.42784E+001   2.59477E-015
  29   3.43606E+001   2.39008E-015
  30   0.00000E+000   3.98152E-016
  31   0.00000E+000   2.66284E-016
  32   0.00000E+000   1.61364E-016
  33   0.00000E+000   1.21275E-016
  34   0.00000E+000   9.54309E-017
  35   0.00000E+000   8.01952E-017
  36   0.00000E+000   7.35509E-017
  37   0.00000E+000   7.12258E-017
  38   0.00000E+000   6.79233E-017
  39   0.00000E+000   6.39158E-017
  40   0.00000E+000   6.16367E-017
  41   0.00000E+000   5.96988E-017
  42   0.00000E+000   5.77536E-017
  43   0.00000E+000   5.41761E-017
  44   0.00000E+000   5.33984E-017
  45   0.00000E+000   5.22068E-017
  46   0.00000E+000   5.09136E-017
  47   0.00000E+000   4.91738E-017
  48   0.00000E+000   4.81186E-017
  49   0.00000E+000   4.57310E-017
  50   0.00000E+000   4.49466E-017
  51   0.00000E+000   4.25678E-017
  52   0.00000E+000   4.17577E-017
  53   0.00000E+000   4.02973E-017
  54   0.00000E+000   3.84752E-017
  55   0.00000E+000   3.66352E-017
  56   0.00000E+000   3.58402E-017
  57   0.00000E+000   3.44990E-017
  58   0.00000E+000   3.30786E-017
  59   0.00000E+000   3.29654E-017
  60   0.00000E+000   3.11226E-017
  61   0.00000E+000   3.02892E-017
  62   0.00000E+000   2.91528E-017
  63   0.00000E+000   2.76990E-017
  64   0.00000E+000   2.73292E-017
  65   0.00000E+000   2.61595E-017
  66   0.00000E+000   2.55528E-017
  67   0.00000E+000   2.40239E-017
  68   0.00000E+000   2.26658E-017
  69   0.00000E+000   2.19765E-017
  70   0.00000E+000   2.09283E-017
  71   0.00000E+000   2.00897E-017
  72   0.00000E+000   1.93637E-017
  73   0.00000E+000   1.80590E-017
  74   0.00000E+000   1.74859E-017
  75   0.00000E+000   1.67515E-017
  76   0.00000E+000   1.64866E-017
  77   0.00000E+000   1.54184E-017
  78   0.00000E+000   1.40116E-017
  79   0.00000E+000   1.34256E-017
  80   0.00000E+000   1.31756E-017
  81   0.00000E+000   1.22193E-017
  82   0.00000E+000   1.10559E-017
  83   0.00000E+000   1.03848E-017
  84   0.00000E+000   9.94292E-018
  85   0.00000E+000   8.44194E-018
  86   0.00000E+000   7.74243E-018
  87   0.00000E+000   7.08425E-018
  88   0.00000E+000   6.35877E-018
  89   0.00000E+000   5.88746E-018
  90   0.00000E+000   5.00693E-018
  91   0.00000E+000   4.22324E-018
  92   0.00000E+000   3.43461E-018
  93   0.00000E+000   2.78994E-018
  94   0.00000E+000   1.62636E-018
  95   0.00000E+000   1.12015E-018
  96   0.00000E+000   9.02992E-019
  97   0.00000E+000   3.19230E-019
  98   0.00000E+000   5.60126E-020
  99   0.00000E+000   8.09865E-021
 100   0.00000E+000   2.76338E-023
