E=   1.00000E-004Unitarity   3.52278E-012
   1   9.78692E-002   9.95230E-001
   2   3.04250E+000   9.52138E-002
   3   3.15855E+000   8.48214E-002
   4   5.97924E+000   5.06146E-003
   5   6.23180E+000   3.93180E-003
   6   8.95912E+000   2.57120E-004
   7   9.04465E+000   2.36042E-004
   8   1.17567E+001   1.56725E-005
   9   1.19083E+001   1.34689E-005
  10   1.44796E+001   1.02948E-006
  11   1.47571E+001   7.80009E-007
  12   1.73519E+001   5.82370E-008
  13   1.73607E+001   5.77280E-008
  14   1.99144E+001   4.49055E-009
  15   2.01649E+001   3.49567E-009
  16   2.25855E+001   3.10664E-010
  17   2.27433E+001   2.65315E-010
  18   2.52090E+001   2.25363E-011
  19   2.52471E+001   2.16947E-011
  20   2.76808E+001   1.90295E-012
  21   2.77818E+001   1.72010E-012
  22   3.01256E+001   1.65065E-013
  23   3.02239E+001   1.49613E-013
  24   3.25367E+001   1.48086E-014
  25   3.25807E+001   1.41713E-014
  26   3.48224E+001   1.50606E-015
  27   3.49424E+001   1.33579E-015
  28   0.00000E+000   1.94211E-016
  29   0.00000E+000   1.56714E-016
  30   0.00000E+000   1.15443E-016
  31   0.00000E+000   8.26404E-017
  32   0.00000E+000   7.79668E-017
  33   0.00000E+000   7.48505E-017
  34   0.00000E+000   7.30157E-017
  35   0.00000E+000   6.93697E-017
  36   0.00000E+000   6.81240E-017
  37   0.00000E+000   6.39732E-017
  38   0.00000E+000   6.22935E-017
  39   0.00000E+000   6.02427E-017
  40   0.00000E+000   5.83412E-017
  41   0.00000E+000   5.67968E-017
  42   0.00000E+000   5.47437E-017
  43   0.00000E+000   5.35229E-017
  44   0.00000E+000   5.22604E-017
  45   0.00000E+000   5.03594E-017
  46   0.00000E+000   4.73489E-017
  47   0.00000E+000   4.66220E-017
  48   0.00000E+000   4.50590E-017
  49   0.00000E+000   4.44170E-017
  50   0.00000E+000   4.25970E-017
  51   0.00000E+000   4.17174E-017
  52   0.00000E+000   4.10832E-017
  53   0.00000E+000   3.88637E-017
  54   0.00000E+000   3.77586E-017
  55   0.00000E+000   3.72233E-017
  56   0.00000E+000   3.56829E-017
  57   0.00000E+000   3.47467E-017
  58   0.00000E+000   3.30204E-017
  59   0.00000E+000   3.26440E-017
  60   0.00000E+000   3.12439E-017
  61   0.00000E+000   2.99434E-017
  62   0.00000E+000   2.91784E-017
  63   0.00000E+000   2.81786E-017
  64   0.00000E+000   2.76045E-017
  65   0.00000E+000   2.66508E-017
  66   0.00000E+000   2.56464E-017
  67   0.00000E+000   2.48109E-017
  68   0.00000E+000   2.38586E-017
  69   0.00000E+000   2.36079E-017
  70   0.00000E+000   2.20510E-017
  71   0.00000E+000   2.13552E-017
  72   0.00000E+000   2.08731E-017
  73   0.00000E+000   1.92002E-017
  74   0.00000E+000   1.88342E-017
  75   0.00000E+000   1.73618E-017
  76   0.00000E+000   1.61137E-017
  77   0.00000E+000   1.53632E-017
  78   0.00000E+000   1.45404E-017
  79   0.00000E+000   1.33175E-017
  80   0.00000E+000   1.28535E-017
  81   0.00000E+000   1.21775E-017
  82   0.00000E+000   1.09199E-017
  83   0.00000E+000   1.01096E-017
  84   0.00000E+000   9.62615E-018
  85   0.00000E+000   8.87287E-018
  86   0.00000E+000   8.36495E-018
  87   0.00000E+000   7.89615E-018
  88   0.00000E+000   7.03798E-018
  89   0.00000E+000   6.13193E-018
  90   0.00000E+000   5.29312E-018
  91   0.00000E+000   4.89706E-018
  92   0.00000E+000   4.52620E-018
  93   0.00000E+000   3.75199E-018
  94   0.00000E+000   3.22074E-018
  95   0.00000E+000   2.39992E-018
  96   0.00000E+000   2.08002E-018
  97   0.00000E+000   1.22357E-018
  98   0.00000E+000   6.96660E-019
  99   0.00000E+000   1.59998E-019
 100   0.00000E+000   6.02529E-021
