E=   1.00000E-005Unitarity   3.63927E-011
   1   2.15140E-001   9.77296E-001
   2   2.80126E+000   1.21021E-001
   3   3.06754E+000   9.28701E-002
   4   5.69288E+000   6.73968E-003
   5   5.91275E+000   5.40942E-003
   6   8.60862E+000   3.65052E-004
   7   8.64580E+000   3.51727E-004
   8   1.12325E+001   2.64728E-005
   9   1.15902E+001   1.85134E-005
  10   1.40626E+001   1.56210E-006
  11   1.41935E+001   1.37054E-006
  12   1.67505E+001   1.06262E-007
  13   1.68076E+001   1.00360E-007
  14   1.93127E+001   8.19685E-009
  15   1.94489E+001   7.15279E-009
  16   2.19017E+001   6.15537E-010
  17   2.19801E+001   5.69110E-010
  18   2.42964E+001   5.61351E-011
  19   2.46200E+001   4.06143E-011
  20   2.68601E+001   4.32336E-012
  21   2.69905E+001   3.79497E-012
  22   2.92167E+001   4.09615E-013
  23   2.94537E+001   3.23185E-013
  24   3.15681E+001   3.90103E-014
  25   3.18003E+001   3.09273E-014
  26   3.39423E+001   3.63156E-015
  27   3.39997E+001   3.42886E-015
  28   0.00000E+000   4.17557E-016
  29   0.00000E+000   3.57272E-016
  30   0.00000E+000   1.47855E-016
  31   0.00000E+000   1.08242E-016
  32   0.00000E+000   8.63269E-017
  33   0.00000E+000   7.80507E-017
  34   0.00000E+000   7.37677E-017
  35   0.00000E+000   7.27718E-017
  36   0.00000E+000   7.00033E-017
  37   0.00000E+000   6.85000E-017
  38   0.00000E+000   6.59316E-017
  39   0.00000E+000   6.36245E-017
  40   0.00000E+000   6.09403E-017
  41   0.00000E+000   6.01678E-017
  42   0.00000E+000   5.72570E-017
  43   0.00000E+000   5.51414E-017
  44   0.00000E+000   5.44873E-017
  45   0.00000E+000   5.21889E-017
  46   0.00000E+000   5.00873E-017
  47   0.00000E+000   4.98096E-017
  48   0.00000E+000   4.78097E-017
  49   0.00000E+000   4.56722E-017
  50   0.00000E+000   4.45547E-017
  51   0.00000E+000   4.30452E-017
  52   0.00000E+000   4.22973E-017
  53   0.00000E+000   4.09391E-017
  54   0.00000E+000   3.97059E-017
  55   0.00000E+000   3.79060E-017
  56   0.00000E+000   3.67382E-017
  57   0.00000E+000   3.57308E-017
  58   0.00000E+000   3.40222E-017
  59   0.00000E+000   3.29057E-017
  60   0.00000E+000   3.18140E-017
  61   0.00000E+000   2.98078E-017
  62   0.00000E+000   2.89170E-017
  63   0.00000E+000   2.86095E-017
  64   0.00000E+000   2.71199E-017
  65   0.00000E+000   2.67404E-017
  66   0.00000E+000   2.50781E-017
  67   0.00000E+000   2.37817E-017
  68   0.00000E+000   2.27216E-017
  69   0.00000E+000   2.21077E-017
  70   0.00000E+000   2.12953E-017
  71   0.00000E+000   2.03459E-017
  72   0.00000E+000   1.89363E-017
  73   0.00000E+000   1.83313E-017
  74   0.00000E+000   1.70052E-017
  75   0.00000E+000   1.66971E-017
  76   0.00000E+000   1.58161E-017
  77   0.00000E+000   1.46794E-017
  78   0.00000E+000   1.38141E-017
  79   0.00000E+000   1.31915E-017
  80   0.00000E+000   1.25581E-017
  81   0.00000E+000   1.17392E-017
  82   0.00000E+000   1.13130E-017
  83   0.00000E+000   1.08626E-017
  84   0.00000E+000   9.71024E-018
  85   0.00000E+000   9.05903E-018
  86   0.00000E+000   8.07128E-018
  87   0.00000E+000   7.65721E-018
  88   0.00000E+000   6.57197E-018
  89   0.00000E+000   6.03307E-018
  90   0.00000E+000   5.13785E-018
  91   0.00000E+000   4.68034E-018
  92   0.00000E+000   4.09688E-018
  93   0.00000E+000   3.13064E-018
  94   0.00000E+000   2.44232E-018
  95   0.00000E+000   1.84292E-018
  96   0.00000E+000   1.54301E-018
  97   0.00000E+000   7.23660E-019
  98   0.00000E+000   3.68076E-019
  99   0.00000E+000   3.95027E-020
 100   0.00000E+000   6.65319E-021
