E=   1.00000E-009Unitarity   3.72982E-007
   1   2.49324E-002   9.99689E-001
   2   2.40009E+000   1.79939E-001
   3   2.64538E+000   1.41245E-001
   4   4.95046E+000   1.41596E-002
   5   5.14348E+000   1.16743E-002
   6   7.46446E+000   1.14619E-003
   7   7.59085E+000   1.01010E-003
   8   9.82613E+000   1.08043E-004
   9   1.02031E+001   7.41110E-005
  10   1.22914E+001   9.18245E-006
  11   1.26474E+001   6.43194E-006
  12   1.47173E+001   8.11715E-007
  13   1.49975E+001   6.13362E-007
  14   1.69795E+001   8.45154E-008
  15   1.74795E+001   5.12584E-008
  16   1.95314E+001   6.58619E-009
  17   1.96467E+001   5.86928E-009
  18   2.17438E+001   7.20828E-010
  19   2.20478E+001   5.31833E-010
  20   2.39786E+001   7.71368E-011
  21   2.42915E+001   5.64127E-011
  22   2.61476E+001   8.81613E-012
  23   2.64974E+001   6.21366E-012
  24   2.84110E+001   9.16840E-013
  25   2.85417E+001   8.04525E-013
  26   3.03866E+001   1.27146E-013
  27   3.08131E+001   8.29986E-014
  28   3.24528E+001   1.61050E-014
  29   3.29147E+001   1.01471E-014
  30   3.46417E+001   1.80432E-015
  31   3.47443E+001   1.62845E-015
  32   0.00000E+000   3.39941E-016
  33   0.00000E+000   2.66656E-016
  34   0.00000E+000   1.52218E-016
  35   0.00000E+000   1.24660E-016
  36   0.00000E+000   8.73285E-017
  37   0.00000E+000   8.24450E-017
  38   0.00000E+000   7.15355E-017
  39   0.00000E+000   6.54031E-017
  40   0.00000E+000   6.24897E-017
  41   0.00000E+000   6.00795E-017
  42   0.00000E+000   5.88988E-017
  43   0.00000E+000   5.73050E-017
  44   0.00000E+000   5.45048E-017
  45   0.00000E+000   5.25190E-017
  46   0.00000E+000   5.14254E-017
  47   0.00000E+000   4.99733E-017
  48   0.00000E+000   4.70690E-017
  49   0.00000E+000   4.66111E-017
  50   0.00000E+000   4.38147E-017
  51   0.00000E+000   4.23625E-017
  52   0.00000E+000   4.15148E-017
  53   0.00000E+000   4.05080E-017
  54   0.00000E+000   3.92930E-017
  55   0.00000E+000   3.77816E-017
  56   0.00000E+000   3.74902E-017
  57   0.00000E+000   3.56931E-017
  58   0.00000E+000   3.42103E-017
  59   0.00000E+000   3.27081E-017
  60   0.00000E+000   3.19746E-017
  61   0.00000E+000   3.07482E-017
  62   0.00000E+000   2.96980E-017
  63   0.00000E+000   2.89440E-017
  64   0.00000E+000   2.67850E-017
  65   0.00000E+000   2.59363E-017
  66   0.00000E+000   2.49576E-017
  67   0.00000E+000   2.34757E-017
  68   0.00000E+000   2.26636E-017
  69   0.00000E+000   2.13055E-017
  70   0.00000E+000   2.04189E-017
  71   0.00000E+000   1.99306E-017
  72   0.00000E+000   1.84449E-017
  73   0.00000E+000   1.71668E-017
  74   0.00000E+000   1.66603E-017
  75   0.00000E+000   1.51774E-017
  76   0.00000E+000   1.45691E-017
  77   0.00000E+000   1.31617E-017
  78   0.00000E+000   1.29366E-017
  79   0.00000E+000   1.20172E-017
  80   0.00000E+000   1.14270E-017
  81   0.00000E+000   1.04804E-017
  82   0.00000E+000   9.57660E-018
  83   0.00000E+000   8.68676E-018
  84   0.00000E+000   8.15365E-018
  85   0.00000E+000   7.13045E-018
  86   0.00000E+000   6.67439E-018
  87   0.00000E+000   5.56397E-018
  88   0.00000E+000   5.09121E-018
  89   0.00000E+000   4.41979E-018
  90   0.00000E+000   3.40874E-018
  91   0.00000E+000   2.83681E-018
  92   0.00000E+000   2.42133E-018
  93   0.00000E+000   1.78662E-018
  94   0.00000E+000   1.24030E-018
  95   0.00000E+000   8.69221E-019
  96   0.00000E+000   4.05647E-019
  97   0.00000E+000   5.45506E-020
  98   0.00000E+000   3.44619E-021
  99   0.00000E+000   1.28470E-022
 100   0.00000E+000   2.81060E-024
